order,name,category,pngPath,outputPrefab,done
22,Ronin-7_Edition_Clone,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Ronin-7_Edition_Clone.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Ronin-7_Edition_Clone.prefab,NO
23,Rook,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Rook.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Rook.prefab,NO
24,Sable,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Sable.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Sable.prefab,NO
25,Sallow,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Sallow.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Sallow.prefab,NO
26,Samurai-4,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Samurai-4.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Samurai-4.prefab,NO
27,Sever_Ninja-2,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Sever_Ninja-2.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Sever_Ninja-2.prefab,NO
28,Tessa-Rin,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Tessa-Rin.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Tessa-Rin.prefab,NO
29,The-Dreaming-Archive,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/The-Dreaming-Archive.png,Assets/Ronin7/Art/Generated/Characters3D/Named/The-Dreaming-Archive.prefab,NO
30,The-Hollow-Kings,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/The-Hollow-Kings.png,Assets/Ronin7/Art/Generated/Characters3D/Named/The-Hollow-Kings.prefab,NO
31,The-Mourners,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/The-Mourners.png,Assets/Ronin7/Art/Generated/Characters3D/Named/The-Mourners.prefab,NO
32,The-Previous-Owner,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/The-Previous-Owner.png,Assets/Ronin7/Art/Generated/Characters3D/Named/The-Previous-Owner.prefab,NO
33,The-Warden,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/The-Warden.png,Assets/Ronin7/Art/Generated/Characters3D/Named/The-Warden.prefab,NO
34,Vane_Wraith-6,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Vane_Wraith-6.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Vane_Wraith-6.prefab,NO
35,Velorum-Broker,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Velorum-Broker.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Velorum-Broker.prefab,NO
36,Vera-Dusk,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Vera-Dusk.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Vera-Dusk.prefab,NO
37,Vess,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Vess.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Vess.prefab,NO
38,Ashkin_variant_01,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_01.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_01.prefab,NO
39,Ashkin_variant_02,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_02.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_02.prefab,NO
40,Ashkin_variant_03,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_03.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_03.prefab,NO
41,Ashkin_variant_04,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_04.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_04.prefab,NO
42,Ashkin_variant_05,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_05.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_05.prefab,NO
43,Ashkin_variant_06,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_06.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_06.prefab,NO
44,Ashkin_variant_07,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_07.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_07.prefab,NO
45,Ashkin_variant_08,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_08.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_08.prefab,NO
46,Ashkin_variant_09,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_09.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_09.prefab,NO
47,Ashkin_variant_10,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_10.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_10.prefab,NO
48,Ashkin_variant_11,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_11.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_11.prefab,NO
49,Ashkin_variant_12,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_12.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_12.prefab,NO
50,Ashkin_variant_13,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_13.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_13.prefab,NO
51,Ashkin_variant_14,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_14.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_14.prefab,NO
52,Ashkin_variant_15,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_15.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_15.prefab,NO
53,Ashkin_variant_16,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_16.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_16.prefab,NO
54,Ashkin_variant_17,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_17.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_17.prefab,NO
55,Ashkin_variant_18,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_18.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_18.prefab,NO
56,Ashkin_variant_19,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_19.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_19.prefab,NO
57,Ashkin_variant_20,Diversity/Ashkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Ashkin/Ashkin_variant_20.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Ashkin/Ashkin_variant_20.prefab,NO
58,Gravelkin_variant_01,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_01.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_01.prefab,NO
59,Gravelkin_variant_02,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_02.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_02.prefab,NO
60,Gravelkin_variant_03,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_03.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_03.prefab,NO
61,Gravelkin_variant_04,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_04.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_04.prefab,NO
62,Gravelkin_variant_05,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_05.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_05.prefab,NO
63,Gravelkin_variant_06,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_06.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_06.prefab,NO
64,Gravelkin_variant_07,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_07.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_07.prefab,NO
65,Gravelkin_variant_08,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_08.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_08.prefab,NO
66,Gravelkin_variant_09,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_09.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_09.prefab,NO
67,Gravelkin_variant_10,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_10.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_10.prefab,NO
68,Gravelkin_variant_11,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_11.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_11.prefab,NO
69,Gravelkin_variant_12,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_12.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_12.prefab,NO
70,Gravelkin_variant_13,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_13.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_13.prefab,NO
71,Gravelkin_variant_14,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_14.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_14.prefab,NO
72,Gravelkin_variant_15,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_15.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_15.prefab,NO
73,Gravelkin_variant_16,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_16.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_16.prefab,NO
74,Gravelkin_variant_17,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_17.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_17.prefab,NO
75,Gravelkin_variant_18,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_18.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_18.prefab,NO
76,Gravelkin_variant_19,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_19.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_19.prefab,NO
77,Gravelkin_variant_20,Diversity/Gravelkin,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Gravelkin/Gravelkin_variant_20.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Gravelkin/Gravelkin_variant_20.prefab,NO
78,Mourners_variant_01,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_01.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_01.prefab,NO
79,Mourners_variant_02,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_02.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_02.prefab,NO
80,Mourners_variant_03,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_03.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_03.prefab,NO
81,Mourners_variant_04,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_04.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_04.prefab,NO
82,Mourners_variant_05,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_05.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_05.prefab,NO
83,Mourners_variant_06,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_06.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_06.prefab,NO
84,Mourners_variant_07,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_07.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_07.prefab,NO
85,Mourners_variant_08,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_08.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_08.prefab,NO
86,Mourners_variant_09,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_09.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_09.prefab,NO
87,Mourners_variant_10,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_10.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_10.prefab,NO
88,Mourners_variant_11,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_11.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_11.prefab,NO
89,Mourners_variant_12,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_12.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_12.prefab,NO
90,Mourners_variant_13,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_13.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_13.prefab,NO
91,Mourners_variant_14,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_14.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_14.prefab,NO
92,Mourners_variant_15,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_15.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_15.prefab,NO
93,Mourners_variant_16,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_16.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_16.prefab,NO
94,Mourners_variant_17,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_17.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_17.prefab,NO
95,Mourners_variant_18,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_18.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_18.prefab,NO
96,Mourners_variant_19,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_19.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_19.prefab,NO
97,Mourners_variant_20,Diversity/Mourners,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Mourners/Mourners_variant_20.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Mourners/Mourners_variant_20.prefab,NO
98,Obsidian-Synod_variant_01,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_01.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_01.prefab,NO
99,Obsidian-Synod_variant_02,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_02.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_02.prefab,NO
100,Obsidian-Synod_variant_03,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_03.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_03.prefab,NO
101,Obsidian-Synod_variant_04,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_04.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_04.prefab,NO
102,Obsidian-Synod_variant_05,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_05.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_05.prefab,NO
103,Obsidian-Synod_variant_06,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_06.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_06.prefab,NO
104,Obsidian-Synod_variant_07,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_07.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_07.prefab,NO
105,Obsidian-Synod_variant_08,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_08.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_08.prefab,NO
106,Obsidian-Synod_variant_09,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_09.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_09.prefab,NO
107,Obsidian-Synod_variant_10,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_10.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_10.prefab,NO
108,Obsidian-Synod_variant_11,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_11.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_11.prefab,NO
109,Obsidian-Synod_variant_12,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_12.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_12.prefab,NO
110,Obsidian-Synod_variant_13,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_13.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_13.prefab,NO
111,Obsidian-Synod_variant_14,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_14.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_14.prefab,NO
112,Obsidian-Synod_variant_15,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_15.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_15.prefab,NO
113,Obsidian-Synod_variant_16,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_16.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_16.prefab,NO
114,Obsidian-Synod_variant_17,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_17.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_17.prefab,NO
115,Obsidian-Synod_variant_18,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_18.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_18.prefab,NO
116,Obsidian-Synod_variant_19,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_19.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_19.prefab,NO
117,Obsidian-Synod_variant_20,Diversity/Obsidian-Synod,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_20.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Obsidian-Synod/Obsidian-Synod_variant_20.prefab,NO
118,Vesh_variant_01,Diversity/Vesh,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Vesh/Vesh_variant_01.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Vesh/Vesh_variant_01.prefab,NO
119,Vesh_variant_02,Diversity/Vesh,Assets/Ronin7/Art/Generated/Characters2D/Diversity/Vesh/Vesh_variant_02.png,Assets/Ronin7/Art/Generated/Characters3D/Diversity/Vesh/Vesh_variant_02.prefab,NO
